a,b,sim,mode,p1_final_edges,p2_final_edges,edge_jaccard,gap,ab_after_sim_ratio,sim_after_ab_ratio
2,3,0.29,sim_left,0,0,1.0,0.0,0.0,0.0
2,3,0.29,both,0,0,1.0,0.0,0.0,0.0
2,3,0.3,sim_left,0,0,1.0,0.0,0.0,0.0
2,3,0.3,both,0,0,1.0,0.0,0.0,0.0
3,3,0.1,sim_left,1142,1142,1.0,0.0,0.9861830742659758,1.0
3,3,0.1,both,1142,1142,1.0,0.0,0.9861830742659758,1.0
3,3,0.11,sim_left,1142,1142,1.0,0.0,0.9861830742659758,1.0
3,3,0.11,both,1142,1142,1.0,0.0,0.9861830742659758,1.0
3,3,0.12,sim_left,1137,1137,1.0,0.0,0.9861231569817867,0.9956217162872154
3,3,0.12,both,1137,1137,1.0,0.0,0.9861231569817867,0.9956217162872154
3,3,0.13,sim_left,1118,1107,0.9901610017889088,0.009838998211091235,0.984,0.978984238178634
3,3,0.13,both,1108,1107,0.981216457960644,0.0009025270758122744,0.984,0.9702276707530648
3,3,0.14,sim_left,991,973,0.9818365287588294,0.018163471241170535,0.9662363455809335,0.8677758318739054
3,3,0.14,both,963,955,0.9712230215827338,0.008307372793354102,0.9656218402426694,0.8432574430823118
3,3,0.15,sim_left,915,864,0.9442622950819672,0.05573770491803279,0.9442622950819672,0.8012259194395797
3,3,0.15,both,863,820,0.9322617680826636,0.04982618771726535,0.9414466130884042,0.7556917688266199
3,3,0.16,sim_left,691,546,0.7901591895803184,0.2098408104196816,0.8425925925925926,0.6050788091068301
3,3,0.16,both,615,478,0.7657512116316639,0.22276422764227644,0.8269896193771626,0.5385288966725044
3,3,0.17,sim_left,550,408,0.7418181818181818,0.2581818181818182,0.780114722753346,0.4816112084063047
3,3,0.17,both,440,316,0.7027027027027027,0.2818181818181818,0.7452830188679245,0.38528896672504376
3,3,0.18,sim_left,489,377,0.7459677419354839,0.22903885480572597,0.7631578947368421,0.42819614711033277
3,3,0.18,both,390,294,0.71,0.24615384615384617,0.735,0.3415061295971979
3,3,0.19,sim_left,333,215,0.616519174041298,0.35435435435435436,0.6125356125356125,0.29159369527145357
3,3,0.19,both,214,0,0.0,1.0,0.0,0.18739054290718038
3,3,0.2,sim_left,308,192,0.5923566878980892,0.37662337662337664,0.588957055214724,0.26970227670753066
3,3,0.2,both,202,0,0.0,1.0,0.0,0.17688266199649738
3,3,0.21,sim_left,212,0,0.0,1.0,0.0,0.18563922942206654
3,3,0.21,both,90,0,0.0,1.0,0.0,0.07880910683012259
3,3,0.22,sim_left,144,0,0.0,1.0,0.0,0.12609457092819615
3,3,0.22,both,60,0,0.0,1.0,0.0,0.05253940455341506
3,3,0.23,sim_left,111,0,0.0,1.0,0.0,0.09719789842381786
3,3,0.23,both,32,0,0.0,1.0,0.0,0.028021015761821366
3,3,0.24,sim_left,54,0,0.0,1.0,0.0,0.047285464098073555
3,3,0.24,both,20,0,0.0,1.0,0.0,0.017513134851138354
3,3,0.25,sim_left,54,0,0.0,1.0,0.0,0.047285464098073555
3,3,0.25,both,20,0,0.0,1.0,0.0,0.017513134851138354
3,3,0.26,sim_left,19,0,0.0,1.0,0.0,0.016637478108581436
3,3,0.26,both,4,0,0.0,1.0,0.0,0.0035026269702276708
3,3,0.27,sim_left,0,0,1.0,0.0,0.0,0.0
3,3,0.27,both,0,0,1.0,0.0,0.0,0.0
3,3,0.28,sim_left,0,0,1.0,0.0,0.0,0.0
3,3,0.28,both,0,0,1.0,0.0,0.0,0.0
3,3,0.29,sim_left,0,0,1.0,0.0,0.0,0.0
3,3,0.29,both,0,0,1.0,0.0,0.0,0.0
3,3,0.3,sim_left,0,0,1.0,0.0,0.0,0.0
3,3,0.3,both,0,0,1.0,0.0,0.0,0.0
2,4,0.1,sim_left,1101,1101,1.0,0.0,0.9507772020725389,1.0
2,4,0.1,both,1101,1101,1.0,0.0,0.9507772020725389,1.0
2,4,0.11,sim_left,1101,1101,1.0,0.0,0.9507772020725389,1.0
2,4,0.11,both,1101,1101,1.0,0.0,0.9507772020725389,1.0
2,4,0.12,sim_left,1091,1096,0.9954379562043796,-0.004562043795620438,0.9505637467476149,0.9909173478655767
2,4,0.12,both,1085,1096,0.989963503649635,-0.010036496350364963,0.9505637467476149,0.9854677565849228
2,4,0.13,sim_left,1082,1060,0.9705611775528978,0.02033271719038817,0.9422222222222222,0.9827429609445958
2,4,0.13,both,1057,1060,0.9475620975160993,-0.002830188679245283,0.9422222222222222,0.9600363306085377
2,4,0.14,sim_left,1005,905,0.8948412698412699,0.09950248756218906,0.8987090367428004,0.9128065395095368
2,4,0.14,both,964,887,0.8696969696969697,0.07987551867219916,0.8968655207280081,0.8755676657584015
2,4,0.15,sim_left,918,796,0.8489751887810141,0.1328976034858388,0.8699453551912568,0.8337874659400545
2,4,0.15,both,855,755,0.8463302752293578,0.11695906432748537,0.8668197474167624,0.776566757493188
2,4,0.16,sim_left,807,462,0.558968058968059,0.4275092936802974,0.7129629629629629,0.7329700272479565
2,4,0.16,both,686,401,0.5353107344632768,0.41545189504373176,0.6937716262975778,0.623069936421435
2,4,0.17,sim_left,625,303,0.4848,0.5152,0.5793499043977055,0.5676657584014533
2,4,0.17,both,475,220,0.4154786150712831,0.5368421052631579,0.5188679245283019,0.43142597638510444
2,4,0.18,sim_left,543,274,0.5046040515653776,0.4953959484346225,0.5546558704453441,0.49318801089918257
2,4,0.18,both,413,183,0.38927738927738925,0.5569007263922519,0.4575,0.3751135331516803
2,4,0.19,sim_left,419,111,0.2589073634204275,0.7350835322195705,0.3162393162393162,0.38056312443233425
2,4,0.19,both,229,16,0.03375527426160337,0.9301310043668122,0.07174887892376682,0.20799273387829245
2,4,0.2,sim_left,394,57,0.1388888888888889,0.8553299492385786,0.17484662576687116,0.3578564940962761
2,4,0.2,both,217,16,0.035555555555555556,0.9262672811059908,0.0761904761904762,0.19709355131698456
2,4,0.21,sim_left,232,20,0.08620689655172414,0.9137931034482759,0.0975609756097561,0.21071752951861944
2,4,0.21,both,91,0,0.0,1.0,0.0,0.08265213442325159
2,4,0.22,sim_left,215,0,0.0,1.0,0.0,0.1952770208900999
2,4,0.22,both,80,0,0.0,1.0,0.0,0.07266121707538602
2,4,0.23,sim_left,162,0,0.0,1.0,0.0,0.14713896457765668
2,4,0.23,both,41,0,0.0,1.0,0.0,0.03723887375113533
2,4,0.24,sim_left,73,0,0.0,1.0,0.0,0.06630336058128973
2,4,0.24,both,27,0,0.0,1.0,0.0,0.02452316076294278
2,4,0.25,sim_left,73,0,0.0,1.0,0.0,0.06630336058128973
2,4,0.25,both,27,0,0.0,1.0,0.0,0.02452316076294278
2,4,0.26,sim_left,28,0,0.0,1.0,0.0,0.025431425976385105
2,4,0.26,both,7,0,0.0,1.0,0.0,0.006357856494096276
2,4,0.27,sim_left,9,0,0.0,1.0,0.0,0.008174386920980926
2,4,0.27,both,3,0,0.0,1.0,0.0,0.0027247956403269754
2,4,0.28,sim_left,9,0,0.0,1.0,0.0,0.008174386920980926
2,4,0.28,both,3,0,0.0,1.0,0.0,0.0027247956403269754
2,4,0.29,sim_left,0,0,1.0,0.0,0.0,0.0
2,4,0.29,both,0,0,1.0,0.0,0.0,0.0
2,4,0.3,sim_left,0,0,1.0,0.0,0.0,0.0
2,4,0.3,both,0,0,1.0,0.0,0.0,0.0
4,2,0.1,sim_left,1151,1151,1.0,0.0,0.9939550949913645,1.0
4,2,0.1,both,1151,1151,1.0,0.0,0.9939550949913645,1.0
4,2,0.11,sim_left,1151,1151,1.0,0.0,0.9939550949913645,1.0
4,2,0.11,both,1151,1151,1.0,0.0,0.9939550949913645,1.0
